"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"WIA","Western Asset/Claymore U.S. Treasury Inflation Prot Secs Fd","10.44","$304.36M","2003","n/a","n/a","http://www.nasdaq.com/symbol/wia",
"WGP","Western Gas Equity Partners, LP","28.06","$6.14B","2012","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/wgp",
"WES","Western Gas Partners, LP","35.06","$4.9B","2008","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/wes",
"WNRL","Western Refining Logistics, LP","21.74","$1.03B","2013","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/wnrl",
"WNR","Western Refining, Inc.","34.4","$3.22B","2006","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/wnr",
"WU","Western Union Company (The)","16.64","$8.41B","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/wu",
"WAB","Westinghouse Air Brake Technologies Corporation","63.59","$6.14B","n/a","Capital Goods","Railroads","http://www.nasdaq.com/symbol/wab",
"WLK","Westlake Chemical Corporation","44.54","$5.82B","2004","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/wlk",
"WLKP","Westlake Chemical Partners LP","19.52","$528.21M","2014","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/wlkp",
"WMLP","Westmoreland Resource Partners, LP","3.06","$17.48M","2015","Energy","Coal Mining","http://www.nasdaq.com/symbol/wmlp",
"WBK","Westpac Banking Corporation","20.91","$66.91B","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/wbk",
"WRK","Westrock Company","37.05","$9.53B","2015","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/wrk",
"WHG","Westwood Holdings Group Inc","45.27","$389.95M","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/whg",
"WEX","WEX Inc.","72.03","$2.78B","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/wex",
"WY","Weyerhaeuser Company","25.82","$13.18B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/wy",
"WY^A","Weyerhaeuser Company","46.27","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wy^a",
"WGL","WGL Holdings Inc","61.96","$3.09B","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/wgl",
"WHR","Whirlpool Corporation","128.64","$10.06B","n/a","Consumer Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/whr",
"WTM","White Mountains Insurance Group, Ltd.","733.9","$4.17B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/wtm",
"WSR","Whitestone REIT","10.7","$288.75M","2010","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/wsr",
"WWAV","Whitewave Foods Company (The)","36.2","$6.38B","2012","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/wwav",
